"DATE","INTERVAL","ANSWERED CALLS","OVERFLOWED CALLS","ABANDONED CALLS","MINIMUM WAIT TIME","MAXIMUM WAIT TIME","AVERAGE WAIT TIME","AVERAGE HANDLE TIME"
"06.17.2025","10:15 - 10:30","1","0","0","00:13","00:13","00:13","00:36"
"06.27.2025","13:15 - 13:30","0","0","1","01:11","01:11","01:11","00:00"
"07.09.2025","13:30 - 13:45","2","0","0","00:42","01:31","01:06","00:10"
"07.09.2025","13:45 - 14:00","1","0","1","01:26","01:33","01:29","00:06"
"07.10.2025","06:00 - 06:15","1","0","0","00:12","00:12","00:12","00:19"
"07.10.2025","06:15 - 06:30","0","0","1","00:05","00:05","00:05","00:00"
"07.10.2025","09:45 - 10:00","1","0","0","00:39","00:39","00:39","00:07"
"07.10.2025","12:00 - 12:15","1","0","0","00:18","00:18","00:18","00:40"
"07.15.2025","04:15 - 04:30","1","0","0","00:15","00:15","00:15","01:22"
"07.16.2025","11:30 - 11:45","0","0","2","00:01","00:59","00:30","00:00"
"07.22.2025","01:30 - 01:45","1","0","0","00:09","00:09","00:09","00:07"
"07.28.2025","05:45 - 06:00","0","0","1","01:00","01:00","01:00","00:00"